catalog_no,source_labelarchive,year_of_release,album_title,album_artists,countrys,culture_groups,genres,instruments,languages,keywords,link,single_country,longitude,latitude
FW08705,Folkways Records,1961,The Kobza,Paul Konoplenko-Zaporozetz,Ukraine,,World,Kobza,,World music,http://www.folkways.si.edu/paul-konoplenko-zaporozetz/the-kobza/world/music/album/smithsonian,Ukraine,27.4959566099744,50.8257803341646
FW08711,Folkways Records,1962,Raasche and Alan Mills Sing Jewish Folk Songs,Raasche and Alan Mills,"Canada; United States",Jewish,Judaica,,"Hebrew (modern); Yiddish",World music,http://www.folkways.si.edu/raasche-and-alan-mills/sing-jewish-folk-songs/judaica/music/album/smithsonian,Canada,-77.1253452463686,72.2008830807132
FW08738,Folkways Records,1963,Selected Songs of Eliakum Zunser: Sung in Yiddish,Nathaniel A. Entin,"Lithuania; Russia; United States",Jewish,Judaica,"Piano; Vocals",Yiddish,World music,http://www.folkways.si.edu/nathaniel-a-entin/selected-songs-of-eliakum-zunser-sung-in-yiddish/judaica/music/album/smithsonian,Lithuania,24.568498639579,56.0634340950294
FW08744,Folkways Records,1959,Songs of the Maritimes: Lumberman Songs and Songs of the Sea,Alan Mills,Canada,,World,"Accordion; Guitar; Vocals",,World music,http://www.folkways.si.edu/alan-mills/songs-of-the-maritimes-lumberman-songs-and-songs-of-the-sea/world/music/album/smithsonian,Canada,-105.248843829949,53.9080917904323
FW08746,Folkways Records,1967,Koto: Music of the One-string Ichigenkin,Isshi Yamada,Japan,Japanese,World,"Koto; Shakuhachi; Vocals",Japanese,World music,http://www.folkways.si.edu/isshi-yamada/koto-music-of-the-one-string-ichigenkin/world/music/album/smithsonian,Japan,133.845472011154,33.8726245282145
FW08743,Folkways Records,1966,Sonia Malkine Sings French Songs from the Provinces,Sonia Malkine,France,,World,,,World music,http://www.folkways.si.edu/sonia-malkine/sings-french-songs-from-the-provinces/world/music/album/smithsonian,France,6.99416205333907,49.1846216551144
FW08747,Folkways Records,1976,Hurdy Gurdy Music,Henri Vasson,France,,World,"Accordion; Hurdy-gurdy",,World music,http://www.folkways.si.edu/henri-vasson/hurdy-gurdy-music/world/music/album/smithsonian,France,6.11928807983701,44.4857058651202
FW08752,Folkways Records,1950,Exotic Dances,Various Artists,"Argentina; Armenia; Equatorial Guinea; India; Japan; Myanmar; Panama; Spain",,World,,,"World music; World music anthologies",http://www.folkways.si.edu/exotic-dances/world/music/album/smithsonian,Argentina,-68.9927889699783,-39.4751498524326
FW08735,Folkways Records,1958,Yemenite and Other Israeli Folksongs,Guela Gill,Israel,"Bukharan; Druze; Persian",Judaica,,Hebrew (modern),"Music--Juvenile; World music",http://www.folkways.si.edu/guela-gill/yemenite-and-other-israeli-folksongs/judaica/music/album/smithsonian,Israel,34.9559914688825,32.5113884586901
FW08737,Folkways Records,1958,Sephardic Folk Songs,Gloria Levy,United States,Jewish,Judaica,"Mandolin; Tambourine","Arabic; English; French; Italian; Ladino","Jewish; World music",http://www.folkways.si.edu/gloria-levy/sephardic-folk-songs/judaica/music/album/smithsonian,United States,-118.145070577428,35.2687762629165
FW08739,Folkways Records,1965,Songs of the Ghetto,Abraham Brun,United States,Jewish,Judaica,,Yiddish,"Jewish; World music",http://www.folkways.si.edu/abraham-brun/songs-of-the-ghetto/judaica/music/album/smithsonian,United States,-104.529682398338,34.4980593841685
FW08764,Folkways Records,1960,Songs and Ballads of Northern Saskatchewan and Northern Manitoba,Various Artists,Canada,,World,,,World music,http://www.folkways.si.edu/songs-and-ballads-of-northern-saskatchewan-and-northern-manitoba/world/music/album/smithsonian,Canada,-73.2105404479123,50.6015625378541
FW08771,Folkways Records,1958,We'll Rant and We'll Roar: Songs of Newfoundland,Alan Mills,Canada,Canadian,World,"Accordion; Guitar; Vocals",,"Ballads; Dance; Logging--Songs and music.; Love songs; Maritime; Occupational; Sea songs; Whaling--Songs and music; Wit and humor; World music",http://www.folkways.si.edu/alan-mills/well-rant-and-well-roar-songs-of-newfoundland/world/music/album/smithsonian,Canada,-125.808331571928,50.8479405567168
FW08772,Folkways Records,1975,André Charles and His Quisqueya Ibo Combo Group (Haiti),André Charles,Haiti,,"Caribbean; World","Guitar; Vocals",,World music,http://www.folkways.si.edu/andre-charles-and-his-quisqueya-ibo-combo-group-haiti/caribbean-world/music/album/smithsonian,Haiti,-74.3497231109191,18.6212339683013
FW08768,Folkways Records,1977,Entre Hermanas: Between Sisters: Women's Songs in Spanish Sung by Suni Paz,Suni Paz,Argentina,,"Latin; Struggle &amp; Protest; World",,,World music,http://www.folkways.si.edu/suni-paz/entre-hermanas-between-sisters-womens-songs-in-spanish/latin-struggle-protest-world/music/album/smithsonian,Argentina,-64.1217362232119,-38.717422037498
FW08778,Folkways Records,1960,Songs of Auvergne,Lucie De Vienne Blanc,France,,World,"English horn; Horn; Oboe",,World music,http://www.folkways.si.edu/lucie-de-vienne-blanc/songs-of-auvergne/world/music/album/smithsonian,France,-1.09835378355228,46.2333792288946
FW08761,Folkways Records,1964,Music for the Classical Oud,Khamis El Fino Ali,Egypt,,"Islamica; World",Oud,,World music,http://www.folkways.si.edu/khamis-el-fino-ali/music-for-the-classical-oud/islamica-world/album/smithsonian,Egypt,28.3250276559911,27.9939618100784
FW08802,Folkways Records,1956,Songs and Dances of Puerto Rico,Various Artists,Puerto Rico,,"Caribbean; Latin; World",,,"Folk songs--United States; World music",http://www.folkways.si.edu/songs-and-dances-of-puerto-rico/caribbean-latin-world/music/album/smithsonian,Puerto Rico,-66.6874734096472,17.9760266423726
FW08910,Folkways Records,1964,Psalms Sung in the Cameroons,Various Artists,Cameroon,,"Sacred; World",Vocals,,World music,http://www.folkways.si.edu/psalms-sung-in-the-cameroons/sacred-world/music/album/smithsonian,Cameroon,11.8254480126897,4.39695590529968
FW09720,Folkways Records,1978,Nathan Asch's Inland Western Sea,Virginia Maynard,United States,,Poetry,,English,"Poetry; Spoken word",http://www.folkways.si.edu/virginia-maynard/nathan-aschs-inland-western-sea/poetry/album/smithsonian,United States,-110.161824546208,43.6439163427819
FW09867,Folkways Records,1963,The Poems of Heinrich Heine,Claire Luce,"Germany; United States",,Poetry,,,"Poetry; Spoken word",http://www.folkways.si.edu/claire-luce/the-poems-of-heinrich-heine/poetry/album/smithsonian,Germany,10.4252236021103,48.1934013593314
HRT15025,Mickey Hart Collection,1989,Venu,Hariprasad-Zakir Hussain,India,,World,,,,http://www.folkways.si.edu/hariprasad-zakir-hussain/venu/world/music/album/smithsonian,India,84.1343947535213,22.5856502437205
MON51768,Monitor Records,1975,Scotland on Parade: Songs and Dances,Various Artists,,,World,,,,http://www.folkways.si.edu/scotland-on-parade-songs-and-dances/world/music/album/smithsonian,,,
FW31308,Folkways Records,1978,Calypso Rock Songs of Jamaica,Horace Johnson,Jamaica,,"Caribbean; World",,,"Calypso; Rock music",http://www.folkways.si.edu/horace-johnson/calypso-rock-songs-of-jamaica/caribbean-world/music/album/smithsonian,Jamaica,-76.9754823048398,18.163211575238
FWEPC601,Folkways Records,1960,South African Freedom Songs,Various Artists,South Africa,,"Struggle &amp; Protest; World",,,"Protest songs; World music",http://www.folkways.si.edu/south-african-freedom-songs/struggle-protest-world/music/album/smithsonian,South Africa,27.2614557252929,-26.709379886986
ILAMTR009,ILAM,1955,Zulu hymns and ceremonial songs,Various Artists,South Africa,"Buthelezi; Shembe",World,"Imbungu; Izigubu; Vocals, group",Zulu,,http://www.folkways.si.edu/zulu-hymns-and-ceremonial-songs/world/music/album/smithsonian,South Africa,24.9176115477382,-29.1954703162248
ILAMTR016,ILAM,1957,Southern Sotho circumcision songs,Group of Sotho men,South Africa,Sotho,World,,"Sotho, Southern",,http://www.folkways.si.edu/group-of-sotho-men/southern-sotho-circumcision-songs/world/music/album/smithsonian,South Africa,26.6589843733037,-32.8948782648273
ILAMTR018,ILAM,1957,Southern Sotho songs,Various Artists,South Africa,Sotho,World,"Vocals, group","Sotho, Southern",,http://www.folkways.si.edu/southern-sotho-songs/world/music/album/smithsonian,South Africa,28.7295248099417,-26.0326010532145
ILAMTR022,ILAM,1957,Xhosa divination songs and lullabies,Various Artists,South Africa,"Mpondo; Qwathi",World,"Clapping, hand; Drum; Ensemble leader; Vocals, group",Xhosa,,http://www.folkways.si.edu/xhosa-divination-songs-and-lullabies/world/music/album/smithsonian,South Africa,25.3201695512779,-27.6214613712425
ILAMTR019A,ILAM,1957,Lala songs,Various Artists,Zambia,Lala,World,"Guitar; Mbira, kankowele; Mirliton; Vocals",Lala,,http://www.folkways.si.edu/lala-songs/world/music/album/smithsonian,Zambia,24.2616958375824,-14.1737685640056
ILAMTR059,ILAM,1957,Threshing and ceremonial songs and lullabies from the Ngqika people of South Africa,Various Artists,South Africa,"Mfengu; Ngqika",World,"Clapping, hand; Vocals; Vocals, group",Xhosa,,http://www.folkways.si.edu/threshing-and-ceremonial-songs-and-lullabies-from-the-ngqika-people-of-south-africa/world/music/album/smithsonian,South Africa,28.528810957319,-27.2780982184976
ILAMTR063,ILAM,1957,Mtsotsho and other dances from the Gcaleka of South Africa,Various Artists,South Africa,Gcaleka,World,"Clapping, hand; Ensemble leader; Hadi; Harmonica; Ikinki; Vocals; Vocals, group",Xhosa,,http://www.folkways.si.edu/mtsotsho-and-other-dances-from-the-gcaleka-of-south-africa/world/music/album/smithsonian,South Africa,24.6427256304663,-28.6821960931255
ILAMTR054,ILAM,1957,Humorous and dance songs from the Tumbuka and Henga people of Malawi,Various Artists,Malawi,"Henga; Tumbuka",World,"Bass drum; Clapping, hand; Drum; Ensemble leader; Nkhombo; Urumba; Vocals; Vocals, group",Tumbuka,,http://www.folkways.si.edu/humorous-and-dance-songs-from-the-tumbuka-and-henga-people-of-malawi/world/music/album/smithsonian,Malawi,35.1970613034117,-14.6822183467747
ILAMTR113,ILAM,1959,"Ritual, greeting, and party songs from the Hurutshe people of Western Transvaal",Various Artists,South Africa,Hurutshe,World,"Clapping, hand; Ensemble leader; Vocals, group",Tswana,,http://www.folkways.si.edu/ritual-greeting-and-party-songs-from-the-hurutshe-people-of-western-transvaal/world/music/album/smithsonian,South Africa,26.2733591609705,-27.2792451746515
ILAMTR117B,ILAM,1959,"Hunting, party, and work songs from various Tswana groups",Various Artists,South Africa,"Hurutshe; Kgatla",World,"Ensemble leader; Vocals, group",Tswana,,http://www.folkways.si.edu/hunting-party-and-work-songs-from-various-tswana-groups/world/music/album/smithsonian,South Africa,27.9555382235899,-25.6537095852476
MON00305,Monitor Records,,Lithuanian Songs and Dances,Various Artists,"Lithuania; USSR (former)",,World,"Accordion; Piano",,World music,http://www.folkways.si.edu/lithuanian-songs-and-dances/world/music/album/smithsonian,Lithuania,22.8323168920772,55.6386637636454
MON00392,Monitor Records,,Popular Ukrainian Folk Songs,Olga Pavlova,"Ukraine; USSR (former)",,World,,,World music,http://www.folkways.si.edu/olga-pavlova/popular-ukrainian-folk-songs/world/music/album/smithsonian,Ukraine,24.6929485559217,51.3829438619835
MON00418,Monitor Records,,Rajkó,Various Artists,Hungary,Romani,World,,,World music,http://www.folkways.si.edu/rajko/world/music/album/smithsonian,Hungary,17.668446285341,47.5444483137004
MON00462,Monitor Records,,Ukrainian Songs: Duets and Solos with Olga Pavlova and George Bohachevsky,Olga Pavlova and George Bohachevsky,"Ukraine; USSR (former)",,World,,,World music,http://www.folkways.si.edu/olga-pavlova-and-george-bohachevsky/ukrainian-songs-duets-and-solos-with/world/music/album/smithsonian,Ukraine,32.2973599602564,48.8798153588428
MON00714,Monitor Records,,La Belle Province Québec: French-Canadian Folk Songs,Alexander Zelkin and Denise Bérard,Canada,French Canadian,World,Guitar,,"Music--Quebec; World music",http://www.folkways.si.edu/alexander-zelkin-and-denise-berard/la-belle-province-quebec-french-canadian-folk-songs/world/music/album/smithsonian,Canada,-73.8755516898938,60.7156181355658
MON00820,Monitor Records,1984,Cuba's Orquesta Aragón Recorded Live in New York,Orquesta Aragón,"Cuba; United States",,"Latin; World","Drum, steel; Guitar; Steel drum (Musical instrument)",,World music,http://www.folkways.si.edu/orquesta-aragon/recorded-live-in-new-york/cuba-latin-world/music/album/smithsonian,Cuba,-84.0661623227368,22.2912341930218
MON61357,Monitor Records,,Spain: Flamenco Songs and Dances,Lutys de Luz Ensemble,Spain,,World,"Castanets; Guitar",,World music,http://www.folkways.si.edu/lutys-de-luz-ensemble/spain-flamenco-songs-and-dances/world/music/album/smithsonian,Spain,-3.82596742151883,38.507770878938
MON71301,Monitor Records,1995,Songs and Dances of Ukraine (CD edition),The Ukrainian Bandura Players,"Ukraine; USSR (former)",,World,Bandurria,,World music,http://www.folkways.si.edu/the-ukrainian-bandura-players/songs-and-dances-cd-edition/world/music/album/smithsonian,Ukraine,24.2523978739185,48.1428482448958
SFW40204,Smithsonian Folkways Recordings,2013,Classic Harmonica Blues from Smithsonian Folkways,Various Artists,,,"African American Music; Blues",,,,,,,
MON71757,Monitor Records,1995,Slavonic Orthodox Liturgy,Svetoslav Obretenov Bulgarian Choir,"Bulgaria; Russia; USSR (former)",,"Sacred; World",,,"Religious; World music",http://www.folkways.si.edu/svetoslav-obretenov-bulgarian-choir/slavonic-orthodox-liturgy/sacred-world/music/album/smithsonian,Bulgaria,23.5544278779006,43.2131659851014
PAR02002,Paredon Records,1977,"What Now People?, Vol. 2",Various Artists,"Cuba; Puerto Rico; United States",Japanese-American,"American Folk; Struggle &amp; Protest",Guitar,English,"American Indian; Folksong revival; Political ballads and songs",http://www.folkways.si.edu/what-now-people-vol-2/american-folk-struggle-protest/music/album/smithsonian,Cuba,-81.0430254412959,22.1136869754897
SFW40055,Smithsonian Folkways Recordings,1991,"Music of Indonesia, Vol. 1: Songs Before Dawn: Gandrung Banyuwangi",Gandrung ensemble from Banyuwangi,Indonesia,"Javanese; Osing",World,"Gong; Kethuk; Percussion, various; Triangle (Musical instrument); Violin; Vocals",Osing,,http://www.folkways.si.edu/gandrung-ensemble-from-banyuwangi/music-of-indonesia-vol-1-songs-before-dawn-gandrung-banyuwangi/world/album/smithsonian,Indonesia,123.060857074932,-4.47989478684758
SFW40063,Smithsonian Folkways Recordings,1993,Live Recordings 1956-1969: Off the Record Volume 1,Bill Monroe & The Blue Grass Boys,United States,Anglo-American,"American Folk; Bluegrass","Banjo; Fiddle; Guitar; Mandolin",English,Bluegrass music,http://www.folkways.si.edu/bill-monroe-the-blue-grass-boys/live-recordings-1956-1969-off-the-record-volume-1/american-folk-bluegrass/music/album/smithsonian,United States,-96.5142229654636,39.232568119419
COLL01919,Collector Records,1980,Garbage and Other Songs of Our Time,Joe Glazer,,,American Folk,,,,http://www.folkways.si.edu/madhumalati-and-sneha-dhopeshwarkar/marathi-songs-from-the-arnold-bake-collection/india-world/music/album/smithsonian,,,
COLL01923,Collector Records,,Down In A Coal Mine,Joe Glazer,,,American Folk,,,,http://www.folkways.si.edu/madhumalati-and-sneha-dhopeshwarkar/marathi-songs-from-the-arnold-bake-collection/india-world/music/album/smithsonian,,,
COLL01934,Collector Records,1982,We've Only Just Begun: A Century of Labor Song,Joe Glazer,,,American Folk,,,,http://www.folkways.si.edu/madhumalati-and-sneha-dhopeshwarkar/marathi-songs-from-the-arnold-bake-collection/india-world/music/album/smithsonian,,,
COLL01937,Collector Records,1983,I'm A Little Cookie and Other Songs that Can Taste Just as Good,Larry Penn,,,American Folk,,,,http://www.folkways.si.edu/madhumalati-and-sneha-dhopeshwarkar/marathi-songs-from-the-arnold-bake-collection/india-world/music/album/smithsonian,,,
